long,lat,gbd_path_type,gbd_total_time,gbd_transfer_count,gbd_total_distance,gbd_total_walk_distance,gbd_total_fare,cbd_m,gbd_m,ybd_m,north_hangang,district,address,jibun,station,station_m,univ,univ_m,road_m,scale,junse,month,date,guarantee,rent_month,build,new_address,term,contract1,contract2,contract3,contract3
127.0455255,37.4776343,3,1445,1,4409,455,1500,12164.72319,2933.205628,11470.05486,0,se,서울특별시 강남구 개포동,1***,매봉역,1036,총신대학교,7062,8m미만,15.86,0,202306,22,700,32,1996,논현로18길,202307~202507,신규,-,0,0
127.0612947,37.4829251,2,1407,0,3213,459,1500,13214.88473,2666.896252,11798.66768,0,se,서울특별시 강남구 개포동,1**,구룡역,483,건국대학교,6620,8m미만,16.5,0,202303,2,"1,000",35,1988,선릉로8길,202303~202503,신규,-,0,0
127.0471699,37.4783976,3,1364,1,3821,467,1500,12259.75387,2846.069841,11475.67367,0,se,서울특별시 강남구 개포동,1***,매봉역,947,총신대학교,7192,8m미만,16.5,0,202309,6,500,40,1998,개포로20길,202309~202403,신규,-,0,0
127.0471699,37.4783976,3,1364,1,3821,467,1500,12259.75387,2846.069841,11475.67367,0,se,서울특별시 강남구 개포동,1***,매봉역,947,총신대학교,7192,8m미만,16.5,0,202309,12,"1,000",40,1998,개포로20길,202310~202410,신규,-,0,0
127.0603878,37.4836355,1,985,0,2865,830,1400,13111.9664,2559.539755,11686.92602,0,se,서울특별시 강남구 개포동,1**,구룡역,385,건국대학교,6562,8m미만,16.8,0,202308,10,200,40,1987,선릉로12길,202309~202406,신규,-,0,0
127.0493388,37.4737174,2,2063,0,4960,981,1500,12659.70756,3372.313515,12017.31789,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1042,총신대학교,7479,12m미만,17,0,202302,23,500,55,1991,논현로8길,202303~202403,신규,-,0,0
127.0603878,37.4836355,1,985,0,2865,830,1400,13111.9664,2559.539755,11686.92602,0,se,서울특별시 강남구 개포동,1**,구룡역,385,건국대학교,6562,8m미만,17.76,0,202307,22,200,46,1987,선릉로12길,202307~202507,신규,-,0,0
127.0603878,37.4836355,1,985,0,2865,830,1400,13111.9664,2559.539755,11686.92602,0,se,서울특별시 강남구 개포동,1**,구룡역,385,건국대학교,6562,8m미만,17.76,0,202304,25,200,46,1987,선릉로12길,202306~202506,신규,-,0,0
127.0507288,37.4725431,2,1923,0,4789,777,1500,12828.41316,3512.102451,12193.04503,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1118,총신대학교,7628,8m미만,18.31,0,202303,31,"10,000",20,2019,논현로6길,202304~202504,신규,-,0,0
127.0606789,37.4831256,1,1028,0,2926,892,1400,13156.06719,2621.612097,11747.14089,0,se,서울특별시 강남구 개포동,1**,구룡역,446,건국대학교,6611,8m미만,19,0,202305,8,"1,000",60,1988,선릉로10길,202305~202505,신규,-,0,0
127.0493388,37.4737174,2,2063,0,4960,981,1500,12659.70756,3372.313515,12017.31789,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1042,총신대학교,7479,12m미만,19.8,0,202301,2,"1,000",65,1991,논현로8길,202301~202401,신규,-,0,0
127.0606789,37.4831256,1,1028,0,2926,892,1400,13156.06719,2621.612097,11747.14089,0,se,서울특별시 강남구 개포동,1**,구룡역,446,건국대학교,6611,8m미만,19.89,0,202302,16,"10,000",25,1988,선릉로10길,202303~202503,신규,-,0,0
127.0606789,37.4831256,1,1028,0,2926,892,1400,13156.06719,2621.612097,11747.14089,0,se,서울특별시 강남구 개포동,1**,구룡역,446,건국대학교,6611,8m미만,19.89,0,202302,16,"10,000",25,1988,선릉로10길,202303~202503,신규,-,0,0
127.0455255,37.4776343,3,1445,1,4409,455,1500,12164.72319,2933.205628,11470.05486,0,se,서울특별시 강남구 개포동,1***,매봉역,1036,총신대학교,7062,8m미만,20,0,202302,1,"1,000",50,,논현로18길,202302~202402,신규,-,0,0
127.046049,37.4789533,3,1413,1,3911,535,1500,12143.82112,2785.311399,11370.45366,0,se,서울특별시 강남구 개포동,1***,매봉역,887,총신대학교,7085,12m미만,20,0,202311,4,500,62,1992,개포로17길,202311~202511,신규,-,0,0
127.0450422,37.4787663,3,1548,1,4533,561,1500,12072.03353,2809.85637,11340.7435,0,se,서울특별시 강남구 개포동,1***,매봉역,917,총신대학교,7000,8m미만,20,0,202302,5,"1,000",50,1995,개포로15길,202302~202502,신규,-,0,0
127.0450422,37.4787663,3,1548,1,4533,561,1500,12072.03353,2809.85637,11340.7435,0,se,서울특별시 강남구 개포동,1***,매봉역,917,총신대학교,7000,8m미만,20,0,202301,10,500,47,1995,개포로15길,202301~202501,신규,-,0,0
127.0468421,37.4791186,3,1362,1,3847,464,1500,12199.71811,2765.953125,11392.63757,0,se,서울특별시 강남구 개포동,1***,매봉역,867,총신대학교,7151,12m미만,20,0,202310,23,"1,000",50,1996,개포로21길,202311~202511,신규,-,0,0
127.0468421,37.4791186,3,1362,1,3847,464,1500,12199.71811,2765.953125,11392.63757,0,se,서울특별시 강남구 개포동,1***,매봉역,867,총신대학교,7151,12m미만,20,0,202309,26,"2,000",50,1996,개포로21길,202311~202511,신규,-,0,0
127.0507288,37.4725431,2,1923,0,4789,777,1500,12828.41316,3512.102451,12193.04503,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1118,총신대학교,7628,12m미만,21,0,202306,10,"1,000",40,1996,논현로6길,202306~202506,신규,-,0,0
127.0493388,37.4737174,2,2063,0,4960,981,1500,12659.70756,3372.313515,12017.31789,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1042,총신대학교,7479,8m미만,21,1,202303,19,"10,000",0,1992,논현로8길,202304~202504,갱신,-,"8,000",0
127.0455255,37.4776343,3,1445,1,4409,455,1500,12164.72319,2933.205628,11470.05486,0,se,서울특별시 강남구 개포동,1***,매봉역,1036,총신대학교,7062,8m미만,22.77,0,202305,13,"1,000",40,1988,논현로18길,-,신규,-,0,0
127.0493388,37.4737174,2,2063,0,4960,981,1500,12659.70756,3372.313515,12017.31789,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1042,총신대학교,7479,8m미만,23,0,202306,8,500,49,1996,논현로8길,202306~202506,신규,-,0,0
127.0471699,37.4783976,3,1364,1,3821,467,1500,12259.75387,2846.069841,11475.67367,0,se,서울특별시 강남구 개포동,1***,매봉역,947,총신대학교,7192,8m미만,23,0,202301,18,"1,000",50,1998,개포로20길,202301~202401,신규,-,0,0
127.0455255,37.4776343,3,1445,1,4409,455,1500,12164.72319,2933.205628,11470.05486,0,se,서울특별시 강남구 개포동,1***,매봉역,1036,총신대학교,7062,8m미만,23,1,202308,23,"9,000",0,1988,논현로18길,202309~202509,신규,-,0,0
127.0455255,37.4776343,3,1445,1,4409,455,1500,12164.72319,2933.205628,11470.05486,0,se,서울특별시 강남구 개포동,1***,매봉역,1036,총신대학교,7062,8m미만,23,1,202308,23,"9,000",0,1990,논현로18길,202309~202509,신규,-,0,0
127.0486578,37.4745157,3,1587,1,4784,481,1500,12566.05644,3280.494072,11910.26038,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1026,총신대학교,7401,25m미만,23.1,0,202305,4,"1,000",65,1997,논현로12길,-,갱신,사용,"1,000",65
127.0468421,37.4791186,3,1362,1,3847,464,1500,12199.71811,2765.953125,11392.63757,0,se,서울특별시 강남구 개포동,1***,매봉역,867,총신대학교,7151,12m미만,23.1,0,202309,16,"2,000",56,1989,개포로21길,202309~202409,신규,-,0,0
127.0479097,37.479248,3,1374,1,3792,480,1500,12279.52631,2753.03518,11431.81486,0,se,서울특별시 강남구 개포동,1***,매봉역,859,총신대학교,7243,12m미만,23.1,0,202304,21,"1,000",53,1993,개포로25길,202305~202504,갱신,-,"1,000",52
127.0603878,37.4836355,1,985,0,2865,830,1400,13111.9664,2559.539755,11686.92602,0,se,서울특별시 강남구 개포동,1**,구룡역,385,건국대학교,6562,8m미만,23.94,0,202309,20,"1,000",40,1988,선릉로12길,202310~202510,신규,-,0,0
127.0479097,37.479248,3,1374,1,3792,480,1500,12279.52631,2753.03518,11431.81486,0,se,서울특별시 강남구 개포동,1***,매봉역,859,총신대학교,7243,8m미만,24,0,202302,17,"1,000",40,1997,개포로25길,202303~202503,신규,-,0,0
127.0510696,37.4722127,2,1887,0,4750,730,1500,12871.97487,3551.606175,12240.13577,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1140,총신대학교,7666,8m미만,24,0,202305,17,"5,000",18,1995,논현로2길,-,-,-, , 
127.0507288,37.4725431,2,1923,0,4789,777,1500,12828.41316,3512.102451,12193.04503,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1118,총신대학교,7628,8m미만,24,0,202309,20,"1,000",40,1994,논현로6길,202311~202511,신규,-,0,0
127.0507288,37.4725431,2,1923,0,4789,777,1500,12828.41316,3512.102451,12193.04503,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1118,총신대학교,7628,12m미만,24,0,202305,25,"1,500",40,1996,논현로6길,202306~202506,신규,-,0,0
127.046049,37.4789533,3,1413,1,3911,535,1500,12143.82112,2785.311399,11370.45366,0,se,서울특별시 강남구 개포동,1***,매봉역,887,총신대학교,7085,12m미만,24,0,202305,26,"1,000",65,1993,개포로17길,202306~202506,신규,-,0,0
127.0507288,37.4725431,2,1923,0,4789,777,1500,12828.41316,3512.102451,12193.04503,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1118,총신대학교,7628,12m미만,24,0,202306,30,"1,000",40,1996,논현로6길,202307~202507,신규,-,0,0
127.0493388,37.4737174,2,2063,0,4960,981,1500,12659.70756,3372.313515,12017.31789,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1042,총신대학교,7479,12m미만,24.05,1,202310,31,"12,000",0,1993,논현로8길,202311~202511,신규,-,0,0
127.0486578,37.4745157,3,1587,1,4784,481,1500,12566.05644,3280.494072,11910.26038,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1026,총신대학교,7401,12m미만,24.2,0,202306,20,"1,000",55,1992,논현로12길,-,-,-, , 
127.0479097,37.479248,3,1374,1,3792,480,1500,12279.52631,2753.03518,11431.81486,0,se,서울특별시 강남구 개포동,1***,매봉역,859,총신대학교,7243,8m미만,24.34,1,202307,6,"13,500",0,1996,개포로25길,202308~202508,신규,-,0,0
127.0471699,37.4783976,3,1364,1,3821,467,1500,12259.75387,2846.069841,11475.67367,0,se,서울특별시 강남구 개포동,1***,매봉역,947,총신대학교,7192,8m미만,24.75,0,202309,12,"1,000",59,1994,개포로20길,202309~202409,신규,-,0,0
127.0494435,37.4794276,3,1326,1,3669,527,1500,12394.85984,2740.89887,11489.83664,0,se,서울특별시 강남구 개포동,1***,매봉역,867,건국대학교,7297,8m미만,24.75,1,202302,2,"18,000",0,2019,개포로31길,202302~202502,신규,-,0,0
127.0479097,37.479248,3,1374,1,3792,480,1500,12279.52631,2753.03518,11431.81486,0,se,서울특별시 강남구 개포동,1***,매봉역,859,총신대학교,7243,8m미만,24.8,0,202305,21,"12,000",4,,개포로25길,-,-,-, , 
127.0450422,37.4787663,3,1548,1,4533,561,1500,12072.03353,2809.85637,11340.7435,0,se,서울특별시 강남구 개포동,1***,매봉역,917,총신대학교,7000,8m미만,25,0,202308,1,200,40,1995,개포로15길,202308~202508,신규,-,0,0
127.0450422,37.4787663,3,1548,1,4533,561,1500,12072.03353,2809.85637,11340.7435,0,se,서울특별시 강남구 개포동,1***,매봉역,917,총신대학교,7000,8m미만,25,0,202301,2,"1,000",45,1995,개포로15길,202301~202501,신규,-,0,0
127.0450422,37.4787663,3,1548,1,4533,561,1500,12072.03353,2809.85637,11340.7435,0,se,서울특별시 강남구 개포동,1***,매봉역,917,총신대학교,7000,8m미만,25,0,202304,3,"1,000",50,1995,개포로15길,202304~202504,신규,-,0,0
127.0450422,37.4787663,3,1548,1,4533,561,1500,12072.03353,2809.85637,11340.7435,0,se,서울특별시 강남구 개포동,1***,매봉역,917,총신대학교,7000,8m미만,25,0,202303,8,"1,000",50,,개포로15길,-,-,-, , 
127.0450422,37.4787663,3,1548,1,4533,561,1500,12072.03353,2809.85637,11340.7435,0,se,서울특별시 강남구 개포동,1***,매봉역,917,총신대학교,7000,8m미만,25,0,202303,8,"1,000",50,1995,개포로15길,202303~202503,신규,-,0,0
127.0450422,37.4787663,3,1548,1,4533,561,1500,12072.03353,2809.85637,11340.7435,0,se,서울특별시 강남구 개포동,1***,매봉역,917,총신대학교,7000,8m미만,25,0,202303,13,"1,000",50,1995,개포로15길,202303~202503,신규,-,0,0
127.0450422,37.4787663,3,1548,1,4533,561,1500,12072.03353,2809.85637,11340.7435,0,se,서울특별시 강남구 개포동,1***,매봉역,917,총신대학교,7000,8m미만,25,0,202306,13,"2,000",45,1995,개포로15길,202307~202507,신규,-,0,0
127.0456237,37.477475,3,1399,1,4397,393,1500,12180.23055,2950.525723,11489.66135,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1034,총신대학교,7074,8m미만,25,0,202311,15,"1,000",48,1991,논현로20길,202312~202512,신규,-,0,0
127.0450422,37.4787663,3,1548,1,4533,561,1500,12072.03353,2809.85637,11340.7435,0,se,서울특별시 강남구 개포동,1***,매봉역,917,총신대학교,7000,8m미만,25,0,202304,15,"1,000",50,1995,개포로15길,202304~202504,신규,-,0,0
127.0450422,37.4787663,3,1548,1,4533,561,1500,12072.03353,2809.85637,11340.7435,0,se,서울특별시 강남구 개포동,1***,매봉역,917,총신대학교,7000,8m미만,25,0,202301,18,"1,000",50,1995,개포로15길,202301~202501,신규,-,0,0
127.0612947,37.4829251,2,1407,0,3213,459,1500,13214.88473,2666.896252,11798.66768,0,se,서울특별시 강남구 개포동,1**,구룡역,483,건국대학교,6620,8m미만,25,0,202309,19,"1,000",50,1994,선릉로8길,202310~202410,신규,-,0,0
127.0455255,37.4776343,3,1445,1,4409,455,1500,12164.72319,2933.205628,11470.05486,0,se,서울특별시 강남구 개포동,1***,매봉역,1036,총신대학교,7062,8m미만,25,0,202304,19,"1,000",50,1988,논현로18길,202304~202504,신규,-,0,0
127.0450422,37.4787663,3,1548,1,4533,561,1500,12072.03353,2809.85637,11340.7435,0,se,서울특별시 강남구 개포동,1***,매봉역,917,총신대학교,7000,8m미만,25,0,202303,23,"1,000",50,,개포로15길,-,-,-, , 
127.0450422,37.4787663,3,1548,1,4533,561,1500,12072.03353,2809.85637,11340.7435,0,se,서울특별시 강남구 개포동,1***,매봉역,917,총신대학교,7000,8m미만,25,0,202303,24,500,40,1995,개포로15길,202303~202503,신규,-,0,0
127.0450422,37.4787663,3,1548,1,4533,561,1500,12072.03353,2809.85637,11340.7435,0,se,서울특별시 강남구 개포동,1***,매봉역,917,총신대학교,7000,8m미만,25,0,202303,30,"1,000",50,1995,개포로15길,202304~202504,신규,-,0,0
127.047226,37.4759299,3,1594,1,4124,605,1500,12382.80192,3119.984608,11710.07765,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1009,총신대학교,7245,12m미만,25.12,0,202302,8,500,38,1997,논현로16길,202303~202503,갱신,사용,300,37
127.0479097,37.479248,3,1374,1,3792,480,1500,12279.52631,2753.03518,11431.81486,0,se,서울특별시 강남구 개포동,1***,매봉역,859,총신대학교,7243,8m미만,26,0,202309,3,"1,000",60,2000,개포로25길,202310~202510,신규,-,0,0
127.0479097,37.479248,3,1374,1,3792,480,1500,12279.52631,2753.03518,11431.81486,0,se,서울특별시 강남구 개포동,1***,매봉역,859,총신대학교,7243,8m미만,26,0,202309,12,"1,000",55,2000,개포로25길,202310~202510,신규,-,0,0
127.046049,37.4789533,3,1413,1,3911,535,1500,12143.82112,2785.311399,11370.45366,0,se,서울특별시 강남구 개포동,1***,매봉역,887,총신대학교,7085,12m미만,26,0,202309,14,500,50,1998,개포로17길,-,-,-, , 
127.0599256,37.4837459,1,956,0,2849,792,1400,13069.39139,2529.834143,11651.73584,0,se,서울특별시 강남구 개포동,1**,구룡역,366,건국대학교,6561,8m미만,26,0,202305,15,"1,000",65,2022,선릉로16길,202305~202505,신규,-,0,0
127.046049,37.4789533,3,1413,1,3911,535,1500,12143.82112,2785.311399,11370.45366,0,se,서울특별시 강남구 개포동,1***,매봉역,887,총신대학교,7085,12m미만,26,0,202309,18,"1,000",50,1998,개포로17길,202310~202510,신규,-,0,0
127.046049,37.4789533,3,1413,1,3911,535,1500,12143.82112,2785.311399,11370.45366,0,se,서울특별시 강남구 개포동,1***,매봉역,887,총신대학교,7085,12m미만,26,0,202307,24,"4,000",49,1993,개포로17길,-,신규,-,0,0
127.0479097,37.479248,3,1374,1,3792,480,1500,12279.52631,2753.03518,11431.81486,0,se,서울특별시 강남구 개포동,1***,매봉역,859,총신대학교,7243,8m미만,26,0,202305,29,"1,000",55,2000,개포로25길,202306~202506,신규,-,0,0
127.046049,37.4789533,3,1413,1,3911,535,1500,12143.82112,2785.311399,11370.45366,0,se,서울특별시 강남구 개포동,1***,매봉역,887,총신대학교,7085,8m미만,26.01,1,202308,2,"12,000",0,1994,개포로17길,202308~202508,신규,-,0,0
127.0455255,37.4776343,3,1445,1,4409,455,1500,12164.72319,2933.205628,11470.05486,0,se,서울특별시 강남구 개포동,1***,매봉역,1036,총신대학교,7062,8m미만,26.11,0,202303,10,500,31,1996,논현로18길,202303~202503,신규,-,0,0
127.0455255,37.4776343,3,1445,1,4409,455,1500,12164.72319,2933.205628,11470.05486,0,se,서울특별시 강남구 개포동,1***,매봉역,1036,총신대학교,7062,8m미만,26.11,0,202303,10,500,31,1996,논현로18길,202303~202503,신규,-,0,0
127.0603878,37.4836355,1,985,0,2865,830,1400,13111.9664,2559.539755,11686.92602,0,se,서울특별시 강남구 개포동,1**,구룡역,385,건국대학교,6562,8m미만,26.2,0,202305,9,"2,000",85,1987,선릉로12길,202306~202506,신규,-,0,0
127.0450422,37.4787663,3,1548,1,4533,561,1500,12072.03353,2809.85637,11340.7435,0,se,서울특별시 강남구 개포동,1***,매봉역,917,총신대학교,7000,12m미만,26.4,0,202310,8,"1,000",80,1993,개포로15길,202310~202510,신규,-,0,0
127.0486578,37.4745157,3,1587,1,4784,481,1500,12566.05644,3280.494072,11910.26038,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1026,총신대학교,7401,8m미만,26.4,0,202303,17,500,37,1997,논현로12길,202303~202503,갱신,사용,500,35
127.0479097,37.479248,3,1374,1,3792,480,1500,12279.52631,2753.03518,11431.81486,0,se,서울특별시 강남구 개포동,1***,매봉역,859,총신대학교,7243,12m미만,26.4,0,202306,24,"1,000",51,1993,개포로25길,202306~202506,신규,-,0,0
127.0450422,37.4787663,3,1548,1,4533,561,1500,12072.03353,2809.85637,11340.7435,0,se,서울특별시 강남구 개포동,1***,매봉역,917,총신대학교,7000,12m미만,26.4,0,202306,28,"2,000",66,1993,개포로15길,202308~202508,신규,-,0,0
127.0493388,37.4737174,2,2063,0,4960,981,1500,12659.70756,3372.313515,12017.31789,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1042,총신대학교,7479,8m미만,26.45,1,202303,1,"12,000",0,,논현로8길,-,-,-, , 
