long,lat,cbd_m,gbd_m,ybd_m,north_hangang,district,address,jibun,station,station_m,univ,univ_m,road_m,scale,junse,month,date,guarantee,dong,rent_month,build,new_address,term,contract1,contract2,contract3...26,contract3...27,build_age,station_km,univ_km,cbd_km,gbd_km,ybd_km,scaled_guarantee,predicted,residuals,under_rated
127.046049,37.4789533,12143.82112,2785.311399,11370.45366,0,se,서울특별시 강남구 개포동,1***,매봉역,887,총신대학교,7085,8m미만,26.01,1,202308,2,12000,개포동,0,1994,개포로17길,202308~202508,신규,-,0,0,29,0.887,7.085,12.14382112,2.785311399,11.37045366,461.361015,13027.76422,-1027.764218,1
127.046049,37.4789533,12143.82112,2785.311399,11370.45366,0,se,서울특별시 강남구 개포동,1***,매봉역,887,총신대학교,7085,8m미만,27,1,202302,10,5000,개포동,0,1994,개포로17길,-,-,-,,,29,0.887,7.085,12.14382112,2.785311399,11.37045366,185.1851852,13257.10144,-8257.101442,1
127.0479097,37.479248,12279.52631,2753.03518,11431.81486,0,se,서울특별시 강남구 개포동,1***,매봉역,859,총신대학교,7243,8m미만,30,1,202304,17,12500,개포동,0,1996,개포로25길,202305~202505,신규,-,0,0,27,0.859,7.243,12.27952631,2.75303518,11.43181486,416.6666667,14215.93138,-1715.931376,1
127.0455255,37.4776343,12164.72319,2933.205628,11470.05486,0,se,서울특별시 강남구 개포동,1***,매봉역,1036,총신대학교,7062,8m미만,30.03,1,202306,16,13000,개포동,0,1989,논현로18길,202307~202507,신규,-,0,0,34,1.036,7.062,12.16472319,2.933205628,11.47005486,432.9004329,13220.51183,-220.5118344,1
127.0483742,37.4785262,12350.3142,2834.696457,11521.36814,0,se,서울특별시 강남구 개포동,1***,매봉역,944,총신대학교,7295,12m미만,31.53,1,202306,20,10000,개포동,0,1996,개포로24길,202307~202507,신규,-,0,0,27,0.944,7.295,12.3503142,2.834696457,11.52136814,317.158262,14492.07735,-4492.077355,1
127.0486578,37.4745157,12566.05644,3280.494072,11910.26038,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1026,총신대학교,7401,8m미만,33,1,202307,10,11500,개포동,0,1996,논현로12길,202307~202507,신규,-,0,0,27,1.026,7.401,12.56605644,3.280494072,11.91026038,348.4848485,14756.03987,-3256.039873,1
127.0603878,37.4836355,13111.9664,2559.539755,11686.92602,0,se,서울특별시 강남구 개포동,1**,구룡역,385,건국대학교,6562,8m미만,36.3,1,202304,27,20000,개포동,0,1987,선릉로12길,202307~202507,갱신,-,12075,0,36,0.385,6.562,13.1119664,2.559539755,11.68692602,550.9641873,15033.08906,4966.910942,0
127.0507288,37.4725431,12828.41316,3512.102451,12193.04503,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1118,총신대학교,7628,8m미만,38.27,1,202303,27,19000,개포동,0,1990,논현로6길,202303~202503,신규,-,0,0,33,1.118,7.628,12.82841316,3.512102451,12.19304503,496.4724327,15164.82561,3835.174386,0
127.0507288,37.4725431,12828.41316,3512.102451,12193.04503,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1118,총신대학교,7628,8m미만,40,1,202303,3,13890,개포동,0,1995,논현로6길,202303~202403,갱신,-,13230,0,28,1.118,7.628,12.82841316,3.512102451,12.19304503,347.25,16169.00037,-2279.000369,1
127.0606789,37.4831256,13156.06719,2621.612097,11747.14089,0,se,서울특별시 강남구 개포동,1**,구룡역,446,건국대학교,6611,8m미만,44.64,1,202302,4,20000,개포동,0,1990,선릉로10길,202304~202504,갱신,사용,20000,0,33,0.446,6.611,13.15606719,2.621612097,11.74714089,448.0286738,17270.73009,2729.269913,0
127.0606789,37.4831256,13156.06719,2621.612097,11747.14089,0,se,서울특별시 강남구 개포동,1**,구룡역,446,건국대학교,6611,8m미만,47.37,1,202309,15,20000,개포동,0,1990,선릉로10길,202309~202509,신규,-,0,0,33,0.446,6.611,13.15606719,2.621612097,11.74714089,422.2081486,17903.14485,2096.855146,0
127.0510705,37.4791965,12536.67771,2781.86,11591.50394,0,se,서울특별시 강남구 개포동,1***,매봉역,941,건국대학교,7272,8m미만,56,1,202306,27,22000,개포동,0,1997,개포로36길,202307~202507,신규,-,0,0,26,0.941,7.272,12.53667771,2.78186,11.59150394,392.8571429,20284.48756,1715.51244,0
127.0493388,37.4737174,12659.70756,3372.313515,12017.31789,0,se,서울특별시 강남구 개포동,1***,양재시민의숲역,1042,총신대학교,7479,8m미만,60,1,202303,3,25150,개포동,0,1995,논현로8길,202304~202504,갱신,사용,24150,0,28,1.042,7.479,12.65970756,3.372313515,12.01731789,419.1666667,20873.99347,4276.006529,0
127.0479097,37.479248,12279.52631,2753.03518,11431.81486,0,se,서울특별시 강남구 개포동,1***,매봉역,859,총신대학교,7243,8m미만,65.56,1,202308,24,18000,개포동,0,1989,개포로25길,202309~202509,신규,-,0,0,34,0.859,7.243,12.27952631,2.75303518,11.43181486,274.5576571,21608.75987,-3608.759868,1
127.0455255,37.4776343,12164.72319,2933.205628,11470.05486,0,se,서울특별시 강남구 개포동,1***,매봉역,1036,총신대학교,7062,8m미만,86.1,1,202309,8,38000,개포동,0,1988,논현로18길,-,-,-,,,35,1.036,7.062,12.16472319,2.933205628,11.47005486,441.3472706,26088.65546,11911.34454,0
127.0288218,37.506358,9709.70553,1619.032967,7992.620665,0,se,서울특별시 강남구 논현동,1**,신논현역,343,총신대학교,5826,8m미만,20,1,202305,19,19000,논현동,0,1991,봉은사로11길,-,-,-,,,32,0.343,5.826,9.70970553,1.619032967,7.992620665,950,11791.86741,7208.132587,0
127.0237584,37.5076651,9241.382954,2085.32796,7623.67312,0,se,서울특별시 강남구 논현동,1**,신논현역,351,총신대학교,5462,12m미만,21,1,202311,20,14000,논현동,0,1990,강남대로122길,202312~202512,신규,-,0,0,33,0.351,5.462,9.241382954,2.08532796,7.62367312,666.6666667,11902.38922,2097.610778,0
127.0237584,37.5076651,9241.382954,2085.32796,7623.67312,0,se,서울특별시 강남구 논현동,1**,신논현역,351,총신대학교,5462,12m미만,22,1,202304,8,14000,논현동,0,1990,강남대로122길,202304~202504,신규,-,0,0,33,0.351,5.462,9.241382954,2.08532796,7.62367312,636.3636364,12134.04298,1865.957017,0
127.0222434,37.5109387,9039.824356,2310.601111,7245.876797,0,se,서울특별시 강남구 논현동,1**,논현역,59,총신대학교,5494,12m미만,23.14,1,202304,12,7000,논현동,0,1992,학동로2길,202304~202504,신규,-,0,0,31,0.059,5.494,9.039824356,2.310601111,7.245876797,302.5064823,12904.47275,-5904.472748,1
127.0215413,37.5120554,8957.69367,2412.151236,7108.209714,0,se,서울특별시 강남구 논현동,5*,논현역,97,한양대학교,5483,8m미만,23.14,1,202305,24,15000,논현동,0,1995,강남대로132길,202306~202506,신규,-,0,0,28,0.097,5.483,8.95769367,2.412151236,7.108209714,648.2281763,13232.16564,1767.834364,0
127.0226485,37.5096983,9100.116079,2234.324079,7380.789927,0,se,서울특별시 강남구 논현동,1**,논현역,187,총신대학교,5465,8m미만,25,1,202309,16,13000,논현동,0,1994,강남대로128길,-,-,-,,,29,0.187,5.465,9.100116079,2.234324079,7.380789927,520,13460.83989,-460.8398903,1
127.025519,37.5118773,9307.966003,2080.942888,7323.629375,0,se,서울특별시 강남구 논현동,1**,논현역,351,한양대학교,5381,8m미만,25.97,1,202303,10,12500,논현동,0,1995,학동로12길,202303~202503,갱신,-,12000,0,28,0.351,5.381,9.307966003,2.080942888,7.323629375,481.3246053,13658.64134,-1158.641343,1
127.0320582,37.5137495,9850.195743,1698.014453,7514.323684,0,se,서울특별시 강남구 논현동,2**,학동역,69,한양대학교,5027,8m미만,26.08,1,202310,9,8000,논현동,0,1996,학동로30길,-,-,-,,,27,0.069,5.027,9.850195743,1.698014453,7.514323684,306.7484663,14067.92936,-6067.929365,1
127.0237584,37.5076651,9241.382954,2085.32796,7623.67312,0,se,서울특별시 강남구 논현동,1**,신논현역,351,총신대학교,5462,12m미만,26.4,1,202301,19,12000,논현동,0,2010,강남대로122길,202302~202502,신규,-,0,0,13,0.351,5.462,9.241382954,2.08532796,7.62367312,454.5454545,15566.97452,-3566.974524,1
127.0237584,37.5076651,9241.382954,2085.32796,7623.67312,0,se,서울특별시 강남구 논현동,1**,신논현역,351,총신대학교,5462,12m미만,27,1,202309,7,12000,논현동,0,1996,강남대로122길,202309~202509,갱신,사용,12000,0,27,0.351,5.462,9.241382954,2.08532796,7.62367312,444.4444444,14016.40829,-2016.408285,1
127.0401695,37.5191501,10506.31933,1779.470598,7575.43081,0,se,서울특별시 강남구 논현동,1**,강남구청역,238,건국대학교,4159,8m미만,28,1,202305,15,11550,논현동,0,1995,선릉로137길,202307~202507,신규,-,0,0,28,0.238,4.159,10.50631933,1.779470598,7.57543081,412.5,14254.59298,-2704.592978,1
127.0328705,37.5081406,10020.27985,1321.317378,8044.25074,0,se,서울특별시 강남구 논현동,1**,언주역,131,건국대학교,5431,8m미만,29.41,1,202305,30,12000,논현동,0,1996,논현로113길,202306~202506,신규,-,0,0,27,0.131,5.431,10.02027985,1.321317378,8.04425074,408.0244815,14775.36914,-2775.369144,1
127.0290155,37.5129479,9595.721072,1864.900917,7413.805599,0,se,서울특별시 강남구 논현동,1**,학동역,299,한양대학교,5178,8m미만,33,1,202309,13,24000,논현동,0,1995,학동로24길,202310~202510,신규,-,0,0,28,0.299,5.178,9.595721072,1.864900917,7.413805599,727.2727273,15338.26953,8661.730469,0
127.0401342,37.517346,10517.94626,1593.345707,7710.693853,0,se,서울특별시 강남구 논현동,1**,강남구청역,103,건국대학교,4281,8m미만,33,1,202305,18,20000,논현동,0,2000,학동로53길,202305~202505,신규,-,0,0,23,0.103,4.281,10.51794626,1.593345707,7.710693853,606.0606061,16136.77226,3863.227738,0
127.0329652,37.51506,9912.129934,1736.038637,7456.306507,0,se,서울특별시 강남구 논현동,7*,학동역,123,한양대학교,4867,8m미만,33,1,202303,30,18000,논현동,0,1996,학동로33길,202305~202505,신규,-,0,0,27,0.123,4.867,9.912129934,1.736038637,7.456306507,545.4545455,15624.86029,2375.13971,0
127.0414267,37.5153857,10651.91243,1349.010514,7944.312131,0,se,서울특별시 강남구 논현동,2**,강남구청역,202,건국대학교,4331,8m미만,35,1,202303,2,15000,논현동,0,1996,선릉로127길,202303~202503,신규,-,0,0,27,0.202,4.331,10.65191243,1.349010514,7.944312131,428.5714286,16026.36877,-1026.368773,1
