경도,위도,최근접 지하철,역과 거리(m),시군구,번지,본번,부번,전월세구분,면적(제곱m),계약월,계약일,보증금(만원),월세(만원),총비용,층,건축년도,도로명,계약기간(개월),계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
127.0579124,37.5708742,답십리역,643,서울특별시 동대문구 답십리동 36-19,36,19,(36-19),전세,38.37,202302,4,23000,0,23000,2,2016,답십리로48가길 45,-,신규,-,0,0
127.0579124,37.5708742,답십리역,643,서울특별시 동대문구 답십리동 36-19,36,19,(36-19),전세,38.56,202303,15,23000,0,23000,3,2016,답십리로48가길 45,-,-,-, , 
127.0579124,37.5708742,답십리역,643,서울특별시 동대문구 답십리동 36-19,36,19,(36-19),전세,40.17,202305,25,25000,0,25000,3,2016,답십리로48가길 45,-,갱신,-,"24,000",0
127.0579124,37.5708742,답십리역,643,서울특별시 동대문구 답십리동 36-19,36,19,(36-19),전세,38.56,202305,25,23000,0,23000,3,2016,답십리로48가길 45,-,갱신,-,"22,000",0
127.0485864,37.572484,신답역,323,서울특별시 동대문구 답십리동 469-11,469,11,(469-11),전세,54.57,202305,13,19700,0,19700,2,1986,황물로 65-9,-,갱신,사용,"18,900",0
127.0498807,37.5732108,신답역,450,서울특별시 동대문구 답십리동 470-3,470,3,(470-3),월세,29.95,202303,4,5000,100,7400,3,2022,답십리로38길 25,24,신규,-,0,0
127.0521496,37.5695165,답십리역,285,서울특별시 동대문구 답십리동 483-32,483,32,(483-32),월세,46.71,202302,28,2000,70,3680,3,1998,황물로3길 14,24,신규,-,0,0
127.0521496,37.5695165,답십리역,285,서울특별시 동대문구 답십리동 483-32,483,32,(483-32),월세,57.06,202305,29,2500,70,4180,-1,1998,황물로3길 14,24,신규,-,0,0
127.0601667,37.5731481,답십리역,961,서울특별시 동대문구 답십리동 75-23,75,23,(75-23),월세,54.67,202211,21,4000,60,4720,2,1986,답십리로57길 3-11,12,신규,-,0,0
127.0573034,37.5670855,답십리역,421,서울특별시 동대문구 답십리동 488-36,488,36,488-36,전세,22.82,202308,13,21100,0,21100,4,2016,전농로2나길 7,-,갱신,-,"21,000",0
127.0584316,37.5706309,답십리역,660,서울특별시 동대문구 답십리동 43-1,43,1,DS빌리지,전세,55.96,202211,30,42000,0,42000,5,2022,답십리로52길 49-3,-,신규,-,0,0
127.0584316,37.5706309,답십리역,660,서울특별시 동대문구 답십리동 43-1,43,1,DS빌리지,전세,55.96,202211,30,42000,0,42000,5,2022,답십리로52길 49-3,-,-,-, , 
127.0504002,37.5726323,신답역,428,서울특별시 동대문구 답십리동 467-22,467,22,MIHOUSE,전세,43.99,202211,19,38000,0,38000,3,2020,답십리로40길 31,-,신규,-,0,0
127.0504002,37.5726323,신답역,428,서울특별시 동대문구 답십리동 467-22,467,22,MIHOUSE,전세,24.41,202212,20,26700,0,26700,5,2020,답십리로40길 31,-,신규,-,0,0
127.0504002,37.5726323,신답역,428,서울특별시 동대문구 답십리동 467-22,467,22,MIHOUSE,전세,25.4,202304,3,25000,0,25000,4,2020,답십리로40길 31,-,신규,-,0,0
127.056707,37.569688,답십리역,476,서울특별시 동대문구 답십리동 260,260,0,골드빌리지,전세,26.45,202212,2,26850,0,26850,2,2021,전농로3가길 12,-,신규,-,0,0
127.056707,37.569688,답십리역,476,서울특별시 동대문구 답십리동 260,260,0,골드빌리지,전세,29.14,202212,19,29500,0,29500,3,2021,전농로3가길 12,-,신규,-,0,0
127.056707,37.569688,답십리역,476,서울특별시 동대문구 답십리동 260,260,0,골드빌리지,전세,29.14,202212,19,29500,0,29500,3,2021,전농로3가길 12,-,-,-, , 
127.056707,37.569688,답십리역,476,서울특별시 동대문구 답십리동 260,260,0,골드빌리지,전세,29.35,202212,21,29000,0,29000,2,2021,전농로3가길 12,-,신규,-,0,0
127.056707,37.569688,답십리역,476,서울특별시 동대문구 답십리동 260,260,0,골드빌리지,전세,28.16,202305,16,19500,0,19500,2,2021,전농로3가길 12,-,신규,-,0,0
127.056707,37.569688,답십리역,476,서울특별시 동대문구 답십리동 260,260,0,골드빌리지,전세,29.93,202305,19,20500,0,20500,2,2021,전농로3가길 12,-,신규,-,0,0
127.056707,37.569688,답십리역,476,서울특별시 동대문구 답십리동 260,260,0,골드빌리지,전세,29.93,202305,20,21000,0,21000,3,2021,전농로3가길 12,-,신규,-,0,0
127.056707,37.569688,답십리역,476,서울특별시 동대문구 답십리동 260,260,0,골드빌리지,전세,28.16,202305,20,20000,0,20000,3,2021,전농로3가길 12,-,-,-, , 
127.056707,37.569688,답십리역,476,서울특별시 동대문구 답십리동 260,260,0,골드빌리지,전세,28.16,202305,20,20000,0,20000,3,2021,전농로3가길 12,-,신규,-,0,0
127.056707,37.569688,답십리역,476,서울특별시 동대문구 답십리동 260,260,0,골드빌리지,전세,29.58,202306,24,21000,0,21000,2,2021,전농로3가길 12,-,신규,-,0,0
127.056707,37.569688,답십리역,476,서울특별시 동대문구 답십리동 260,260,0,골드빌리지,전세,29.14,202307,25,22900,0,22900,2,2021,전농로3가길 12,-,신규,-,0,0
127.056707,37.569688,답십리역,476,서울특별시 동대문구 답십리동 260,260,0,골드빌리지,전세,29.9,202307,29,21000,0,21000,2,2021,전농로3가길 12,-,-,-, , 
127.056707,37.569688,답십리역,476,서울특별시 동대문구 답십리동 260,260,0,골드빌리지,전세,29.9,202307,29,21000,0,21000,2,2021,전농로3가길 12,-,신규,-,0,0
127.056707,37.569688,답십리역,476,서울특별시 동대문구 답십리동 260,260,0,골드빌리지,전세,54.8,202310,7,39000,0,39000,4,2021,전농로3가길 12,-,신규,-,0,0
127.0586134,37.5685584,답십리역,565,서울특별시 동대문구 답십리동 22-7,22,7,그린빌라,월세,49.75,202305,20,3000,65,4560,1,1996,답십리로56길 98,24,신규,-,0,0
127.0606816,37.5736264,답십리역,1031,서울특별시 동대문구 답십리동 75-27,75,27,그린빌라다동,월세,75.33,202306,20,13300,25,13900,2,1984,답십리로53길 35,24,갱신,사용,"19,000",0
127.0606816,37.5736264,답십리역,1031,서울특별시 동대문구 답십리동 75-27,75,27,그린빌라다동,월세,64.32,202307,14,5000,70,6680,2,1984,답십리로53길 35,24,신규,-,0,0
127.0495476,37.5716471,신답역,297,서울특별시 동대문구 답십리동 467-4,467,4,내일리버파크(467-4),전세,29.48,202212,27,24000,0,24000,5,2016,답십리로40길 59,-,신규,-,0,0
127.0495476,37.5716471,신답역,297,서울특별시 동대문구 답십리동 467-4,467,4,내일리버파크(467-4),전세,44.73,202303,30,33000,0,33000,4,2016,답십리로40길 59,-,신규,-,0,0
127.050539,37.5734629,신답역,506,서울특별시 동대문구 답십리동 1006,1006,0,누리마루,전세,29.16,202302,10,22510,0,22510,3,2017,답십리로40길 18,-,갱신,사용,"22,500",0
127.050539,37.5734629,신답역,506,서울특별시 동대문구 답십리동 1006,1006,0,누리마루,전세,29.16,202302,10,20000,0,20000,3,2017,답십리로40길 18,-,-,-, , 
