고유번호,구명,위도,경도
25,광진구,37.5481447,127.085765
24,영등포구,37.5206414,126.9139239
23,송파구,37.5048509,127.1144708
22,양천구,37.5270363,126.8561354
21,금천구,37.4600745,126.9001525
20,구로구,37.4956768,126.8581205
19,강서구,37.5657621,126.8226558
18,은평구,37.6176107,126.9227001
17,서초구,37.4769532,127.0378001
16,강동구,37.549233,127.1464401
15,강남구,37.4959815,127.0664088
14,마포구,37.5622933,126.9087792
13,서대문구,37.5828688,126.9356676
12,용산구,37.5311061,126.9809422
11,노원구,37.6552597,127.0771199
10,도봉구,37.6658587,127.0317954
9,성북구,37.6069889,127.0232435
8,강북구,37.6469903,127.0147136
7,중랑구,37.5953753,127.093966
6,성동구,37.5506718,127.0409626
5,동대문구,37.5837941,127.0506879
4,종로구,37.5991001,126.986175
3,중구,37.5579449,126.9941953
2,동작구,37.4965073,126.9443079
1,관악구,37.4654,126.9438067
